top - 15:17:08 up 11 min,  3 users,  load average: 0.56, 0.75, 0.61
Tasks: 239 total,   4 running, 235 sleeping,   0 stopped,   0 zombie
%Cpu(s):  4.2 us,  6.8 sy,  0.1 ni, 76.8 id, 11.9 wa,  0.0 hi,  0.2 si,  0.0 st
KiB Mem:   4030508 total,  1152532 used,  2877976 free,    49788 buffers
KiB Swap:  1046524 total,        0 used,  1046524 free.   443992 cached Mem

   PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
   213 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_+
   214 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_29
   215 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_+
   216 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_30
   217 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_+
   218 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_31
   219 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_+
   220 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_32
   221 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_+
   244 root      20   0       0      0      0 S   0.0  0.0   0:00.92 kworker/u+
   246 root      20   0       0      0      0 S   0.0  0.0   0:04.70 kworker/u+
   257 root      20   0       0      0      0 S   0.0  0.0   0:02.05 jbd2/sda1+
   258 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ext4-rsv-+
   299 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kauditd
   314 root      20   0       0      0      0 S   0.0  0.0   0:00.38 kworker/3+
   318 root      20   0   30080   4628   4216 S   0.0  0.1   0:01.09 systemd-j+
   341 root      20   0   42952   4776   2920 S   0.0  0.1   0:01.79 systemd-u+
   384 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/0+
   391 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ttm_swap
   452 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kvm-irqfd+
   638 syslog    20   0  255896   3356   2860 S   0.0  0.1   0:00.40 rsyslogd
   639 root      20   0   15312   2196   2044 S   0.0  0.1   0:00.00 cgmanager
   644 root      20   0  158288   8484   7828 S   0.0  0.2   0:03.68 thermald
   650 root      20   0   28544   3108   2756 S   0.0  0.1   0:00.16 systemd-l+
   651 root      20   0  288968   6972   6044 S   0.0  0.2   0:00.64 accounts-+
   653 root      20   0  336412  12404   7072 S   0.0  0.3   0:00.21 ModemMana+
   656 whoopsie  20   0  368336  11828  10232 S   0.0  0.3   0:00.22 whoopsie
   658 root      20   0  466564  14484  12236 S   0.0  0.4   0:00.81 NetworkMa+
   659 root      20   0   33128   3040   2768 S   0.0  0.1   0:00.01 cron
